Ticket_ID,Match,Date,Time,Stadium,Block,Row,Seat,Gate,Parking_Zone,Ticket_Price,Category
T000655,Al Raed vs Abha,2023-08-05,15:25,King Fahd Stadium,B96,K,35,5,Green,491,Regular
T000656,Al Shabab vs Al Fateh,2024-09-12,21:31,Al Nassr Club Stadium,B13,O,56,2,Zone D,967,Family
T000657,Al Shabab vs Al Fateh,2024-07-08,19:10,Al Hilal Stadium,B7,E,58,1,Zone D,832,Regular
T000658,Al Nassr vs Al Ittihad,2024-03-05,22:21,Al Nassr Club Stadium,B60,E,17,3,Blue,750,VIP
T000659,Al Nassr vs Al Ittihad,2025-01-11,18:39,Al Nassr Club Stadium,B54,U,87,8,Zone D,874,VIP
T000660,Al Shabab vs Al Fateh,2025-01-01,18:56,Al Nassr Club Stadium,B92,N,80,10,Zone E,611,Regular
T000661,Al Nassr vs Al Ittihad,2025-03-02,16:26,King Fahd Stadium,B74,I,85,4,Zone E,739,Student
T000662,Al Raed vs Abha,2025-09-23,18:21,King Fahd Stadium,B9,Z,93,10,Pink,187,Student
T000663,Al Nassr vs Al Ittihad,2023-03-28,16:06,Al Nassr Club Stadium,B88,J,8,2,Zone C,446,Student
T000664,Al Shabab vs Al Fateh,2023-06-30,15:14,Jeddah Stadium,B90,D,21,1,Blue,111,Student
T000665,Al Raed vs Abha,2024-01-03,21:02,Jeddah Stadium,B49,E,55,10,Green,234,VIP
T000666,Al Ahli vs Al Hilal,2024-06-04,15:36,Jeddah Stadium,B16,Q,13,2,Zone B,355,VIP
T000667,Al Nassr vs Al Ittihad,2023-08-06,20:48,Jeddah Stadium,B53,P,71,1,Green,402,Regular
T000668,Al Ahli vs Al Hilal,2025-10-02,20:21,King Fahd Stadium,B32,L,74,10,Zone C,980,VIP
T000669,Al Ahli vs Al Hilal,2023-09-07,22:25,Al Hilal Stadium,B39,L,76,7,Green,853,VIP
T000670,Al Nassr vs Al Ittihad,2023-06-04,19:58,King Fahd Stadium,B79,X,82,4,Zone C,447,VIP
T000671,Al Wehda vs Damac,2023-03-14,20:21,Al Hilal Stadium,B5,H,56,1,Zone B,699,Regular
T000672,Al Taawon vs Al Ettifaq,2025-05-15,18:43,Al Hilal Stadium,B53,M,39,4,Zone E,992,Student
T000673,Al Nassr vs Al Ittihad,2023-08-12,16:36,Al Nassr Club Stadium,B63,Q,29,9,Zone C,302,Regular
T000674,Al Ahli vs Al Hilal,2024-10-01,16:31,Al Hilal Stadium,B93,G,59,6,Zone E,757,VIP
T000675,Al Shabab vs Al Fateh,2023-08-11,15:11,King Fahd Stadium,B24,I,24,1,Green,826,Family
T000676,Al Shabab vs Al Fateh,2023-02-23,22:07,Prince Abdullah Al Faisal Stadium,B83,T,33,10,Zone C,580,Regular
T000677,Al Nassr vs Al Ittihad,2023-05-16,22:51,Jeddah Stadium,B86,L,45,10,Zone A,224,Family
T000678,Al Wehda vs Damac,2024-01-22,18:15,Jeddah Stadium,B23,P,68,9,Zone A,986,VIP
T000679,Al Shabab vs Al Fateh,2023-08-14,15:23,King Fahd Stadium,B90,Y,51,7,Zone E,916,VIP
T000680,Al Wehda vs Damac,2023-10-11,22:20,Jeddah Stadium,B49,P,19,2,Pink,803,Family
T000681,Al Taawon vs Al Ettifaq,2024-06-11,18:11,Al Nassr Club Stadium,B40,O,99,4,Pink,294,Student
T000682,Al Taawon vs Al Ettifaq,2024-06-15,15:23,Jeddah Stadium,B14,Y,84,7,Zone E,412,Student
T000683,Al Taawon vs Al Ettifaq,2024-06-03,22:17,Al Hilal Stadium,B42,Y,5,4,Zone D,420,Family
T000684,Al Ahli vs Al Hilal,2025-12-03,20:41,Jeddah Stadium,B69,K,54,3,Zone D,287,Student
T000685,Al Nassr vs Al Ittihad,2023-06-03,21:22,Al Hilal Stadium,B80,S,61,4,Pink,505,Regular
T000686,Al Shabab vs Al Fateh,2024-11-15,21:16,Al Nassr Club Stadium,B15,Q,48,3,Zone C,457,Regular
T000687,Al Nassr vs Al Ittihad,2024-06-05,15:53,Jeddah Stadium,B42,F,63,9,Pink,634,Family
T000688,Al Nassr vs Al Ittihad,2023-08-08,21:29,Prince Abdullah Al Faisal Stadium,B96,U,85,3,Zone B,709,Family
T000689,Al Shabab vs Al Fateh,2025-05-25,18:12,King Fahd Stadium,B84,I,10,9,Green,708,Student
T000690,Al Ahli vs Al Hilal,2025-06-01,17:53,Al Nassr Club Stadium,B78,K,59,3,Pink,910,VIP
T000691,Al Nassr vs Al Ittihad,2024-10-26,20:54,Prince Abdullah Al Faisal Stadium,B60,J,48,3,Zone A,677,Student
T000692,Al Shabab vs Al Fateh,2024-01-18,15:36,Jeddah Stadium,B14,P,30,2,Zone D,898,Family
T000693,Al Wehda vs Damac,2023-03-16,21:21,Al Nassr Club Stadium,B51,D,7,6,Pink,300,Regular
T000694,Al Wehda vs Damac,2023-10-17,16:15,Al Hilal Stadium,B19,F,65,6,Pink,843,VIP
T000695,Al Nassr vs Al Ittihad,2024-03-27,22:41,Jeddah Stadium,B81,J,64,9,Zone D,164,Regular
T000696,Al Raed vs Abha,2025-03-29,18:33,Jeddah Stadium,B40,O,97,7,Pink,534,Family
T000697,Al Taawon vs Al Ettifaq,2024-04-12,17:49,Jeddah Stadium,B55,S,56,9,Pink,344,VIP
T000698,Al Nassr vs Al Ittihad,2023-09-13,21:06,Jeddah Stadium,B55,D,70,2,Zone C,991,Family
T000699,Al Wehda vs Damac,2023-06-09,18:04,Al Hilal Stadium,B95,M,41,9,Blue,971,Regular
T000700,Al Shabab vs Al Fateh,2023-05-05,22:51,King Fahd Stadium,B23,U,35,10,Zone B,725,Regular
T000701,Al Raed vs Abha,2024-10-11,19:57,King Fahd Stadium,B18,H,7,1,Zone C,643,Family
T000702,Al Ahli vs Al Hilal,2023-08-09,22:00,Al Hilal Stadium,B12,H,75,9,Zone C,298,Regular
T000703,Al Raed vs Abha,2024-08-20,22:07,Prince Abdullah Al Faisal Stadium,B16,O,9,9,Zone E,819,Family
T000704,Al Ahli vs Al Hilal,2023-12-07,16:21,Al Hilal Stadium,B51,U,30,9,Zone B,435,Student
T000705,Al Nassr vs Al Ittihad,2023-11-29,17:30,Al Nassr Club Stadium,B22,B,41,8,Zone D,707,Family
T000706,Al Nassr vs Al Ittihad,2023-11-23,22:59,Al Nassr Club Stadium,B69,Y,75,8,Blue,814,Regular
T000707,Al Nassr vs Al Ittihad,2023-11-12,20:19,Jeddah Stadium,B83,Z,68,6,Zone A,788,Family
T000708,Al Raed vs Abha,2023-01-17,21:56,Prince Abdullah Al Faisal Stadium,B57,W,99,10,Zone C,710,VIP
T000709,Al Wehda vs Damac,2025-02-11,17:46,King Fahd Stadium,B56,X,23,6,Blue,268,VIP
T000710,Al Taawon vs Al Ettifaq,2025-05-26,22:05,Al Nassr Club Stadium,B16,A,28,7,Zone C,401,Family
T000711,Al Wehda vs Damac,2025-09-25,18:06,Al Nassr Club Stadium,B92,G,75,7,Zone E,704,Family
T000712,Al Raed vs Abha,2024-04-28,16:35,Jeddah Stadium,B51,Z,100,1,Zone E,218,VIP
T000713,Al Nassr vs Al Ittihad,2025-07-18,20:05,King Fahd Stadium,B81,T,28,7,Zone C,994,Family
T000714,Al Ahli vs Al Hilal,2023-03-09,22:13,Prince Abdullah Al Faisal Stadium,B37,K,81,9,Pink,532,Family
T000715,Al Nassr vs Al Ittihad,2025-01-14,17:48,Prince Abdullah Al Faisal Stadium,B25,E,76,8,Zone B,996,Family
T000716,Al Wehda vs Damac,2023-04-20,18:34,Al Nassr Club Stadium,B57,U,98,8,Zone D,161,Student
T000717,Al Wehda vs Damac,2024-03-28,21:41,Al Nassr Club Stadium,B66,X,33,5,Green,634,Student
T000718,Al Nassr vs Al Ittihad,2025-12-21,18:57,Al Hilal Stadium,B30,O,99,8,Zone D,581,VIP
T000719,Al Raed vs Abha,2025-06-07,22:04,King Fahd Stadium,B80,Q,22,1,Zone E,611,VIP
T000720,Al Shabab vs Al Fateh,2023-11-01,20:38,Prince Abdullah Al Faisal Stadium,B15,S,90,10,Zone E,518,Regular
T000721,Al Raed vs Abha,2025-12-23,21:50,Jeddah Stadium,B7,X,78,3,Blue,173,Student
T000722,Al Ahli vs Al Hilal,2024-04-11,21:23,Al Nassr Club Stadium,B67,U,16,7,Pink,136,Family
T000723,Al Ahli vs Al Hilal,2024-08-31,22:39,Prince Abdullah Al Faisal Stadium,B19,X,73,7,Pink,424,Regular
T000724,Al Raed vs Abha,2024-06-23,17:29,Al Nassr Club Stadium,B81,Q,50,7,Pink,493,VIP
T000725,Al Raed vs Abha,2025-08-15,22:54,Al Nassr Club Stadium,B50,H,14,3,Zone C,468,VIP
T000726,Al Taawon vs Al Ettifaq,2023-09-17,15:47,King Fahd Stadium,B90,A,54,9,Zone B,95,Family
T000727,Al Nassr vs Al Ittihad,2025-01-03,18:23,Al Hilal Stadium,B30,X,18,9,Blue,150,VIP
T000728,Al Wehda vs Damac,2023-02-18,20:06,King Fahd Stadium,B39,H,76,6,Zone E,856,Family
T000729,Al Ahli vs Al Hilal,2024-01-26,19:31,Jeddah Stadium,B92,X,14,8,Zone A,187,Family
T000730,Al Ahli vs Al Hilal,2024-12-10,21:11,King Fahd Stadium,B65,N,38,4,Zone B,740,Regular
T000731,Al Nassr vs Al Ittihad,2023-11-08,21:25,Prince Abdullah Al Faisal Stadium,B23,A,37,1,Green,390,Student
T000732,Al Ahli vs Al Hilal,2024-11-03,18:38,Jeddah Stadium,B37,T,47,1,Blue,562,Regular
T000733,Al Taawon vs Al Ettifaq,2025-05-04,15:34,Prince Abdullah Al Faisal Stadium,B21,Y,99,1,Zone A,453,Regular
T000734,Al Raed vs Abha,2025-02-14,17:21,Prince Abdullah Al Faisal Stadium,B1,L,68,9,Zone D,205,Family
T000735,Al Nassr vs Al Ittihad,2025-05-28,20:52,Jeddah Stadium,B83,G,15,10,Zone C,144,Student
T000736,Al Nassr vs Al Ittihad,2024-05-09,17:15,Al Nassr Club Stadium,B44,Y,72,9,Zone A,311,VIP
T000737,Al Taawon vs Al Ettifaq,2024-04-28,21:09,King Fahd Stadium,B70,X,68,10,Green,237,VIP
T000738,Al Ahli vs Al Hilal,2023-11-27,17:20,King Fahd Stadium,B53,J,44,8,Zone B,999,Family
T000739,Al Nassr vs Al Ittihad,2024-12-28,22:19,Prince Abdullah Al Faisal Stadium,B10,C,40,10,Zone A,417,Regular
T000740,Al Taawon vs Al Ettifaq,2024-04-15,15:49,Al Nassr Club Stadium,B59,B,49,9,Blue,663,VIP
T000741,Al Shabab vs Al Fateh,2024-07-14,15:58,King Fahd Stadium,B81,H,60,10,Green,494,Family
T000742,Al Wehda vs Damac,2023-05-26,17:16,Prince Abdullah Al Faisal Stadium,B70,S,19,6,Zone D,351,Family
T000743,Al Ahli vs Al Hilal,2025-06-11,19:22,Jeddah Stadium,B47,H,90,8,Zone E,898,Regular
T000744,Al Ahli vs Al Hilal,2024-01-03,15:19,Al Hilal Stadium,B24,E,91,5,Zone D,129,Regular
T000745,Al Raed vs Abha,2024-10-05,21:48,Al Hilal Stadium,B46,G,27,8,Zone E,548,Family
T000746,Al Taawon vs Al Ettifaq,2025-07-06,20:10,Prince Abdullah Al Faisal Stadium,B41,U,74,7,Green,370,VIP
T000747,Al Raed vs Abha,2023-04-04,16:14,Al Nassr Club Stadium,B58,B,70,2,Zone E,298,VIP
T000748,Al Nassr vs Al Ittihad,2023-10-31,18:43,Jeddah Stadium,B26,L,34,2,Zone B,63,Regular
T000749,Al Nassr vs Al Ittihad,2025-11-17,19:10,Jeddah Stadium,B82,R,68,5,Blue,127,Student
T000750,Al Raed vs Abha,2025-01-18,17:45,Al Hilal Stadium,B37,K,16,8,Blue,895,Student
T000751,Al Taawon vs Al Ettifaq,2023-04-17,15:19,King Fahd Stadium,B59,A,45,6,Zone D,935,Family
T000752,Al Wehda vs Damac,2024-07-20,17:38,Jeddah Stadium,B64,P,2,7,Zone D,506,Family
T000753,Al Nassr vs Al Ittihad,2025-11-06,16:46,King Fahd Stadium,B97,A,79,10,Zone D,439,Family
T000754,Al Taawon vs Al Ettifaq,2024-08-12,22:23,Al Nassr Club Stadium,B29,R,8,10,Blue,993,Student
T000755,Al Taawon vs Al Ettifaq,2024-09-19,20:58,King Fahd Stadium,B16,J,87,9,Zone C,140,Family
T000756,Al Ahli vs Al Hilal,2025-08-02,21:30,Al Nassr Club Stadium,B57,B,76,9,Zone E,860,Regular
T000757,Al Nassr vs Al Ittihad,2023-11-24,17:30,Al Hilal Stadium,B86,I,80,3,Blue,249,Family
T000758,Al Raed vs Abha,2024-01-09,21:19,Al Hilal Stadium,B76,U,25,7,Green,336,Regular
T000759,Al Taawon vs Al Ettifaq,2025-09-20,17:42,Al Hilal Stadium,B85,S,97,9,Zone E,553,Student
T000760,Al Shabab vs Al Fateh,2023-11-15,21:07,Prince Abdullah Al Faisal Stadium,B37,E,24,8,Blue,498,Student
T000761,Al Taawon vs Al Ettifaq,2023-01-20,21:14,Al Nassr Club Stadium,B58,F,83,10,Blue,458,Student
T000762,Al Wehda vs Damac,2023-12-08,22:49,Prince Abdullah Al Faisal Stadium,B17,X,68,9,Pink,776,Student
T000763,Al Shabab vs Al Fateh,2025-12-20,16:10,King Fahd Stadium,B45,O,100,6,Green,243,Regular
T000764,Al Raed vs Abha,2024-03-11,17:25,King Fahd Stadium,B14,W,34,10,Zone D,399,Student
T000765,Al Shabab vs Al Fateh,2023-09-28,17:39,Jeddah Stadium,B99,C,6,10,Zone C,936,Regular
T000766,Al Ahli vs Al Hilal,2025-01-01,19:53,Jeddah Stadium,B77,V,90,1,Green,182,Student
T000767,Al Ahli vs Al Hilal,2023-03-19,17:42,Al Nassr Club Stadium,B22,A,8,4,Zone A,164,Family
T000768,Al Wehda vs Damac,2025-05-28,17:15,Al Nassr Club Stadium,B15,V,32,9,Zone C,618,Student
T000769,Al Nassr vs Al Ittihad,2025-03-04,18:27,Jeddah Stadium,B29,D,93,3,Green,854,Regular
T000770,Al Nassr vs Al Ittihad,2025-04-20,15:47,King Fahd Stadium,B69,W,89,10,Green,186,Regular
T000771,Al Wehda vs Damac,2023-06-24,17:54,Al Nassr Club Stadium,B57,D,41,8,Green,973,Regular
T000772,Al Ahli vs Al Hilal,2024-10-22,22:19,Jeddah Stadium,B9,J,41,8,Blue,860,Regular
T000773,Al Raed vs Abha,2025-08-09,18:02,King Fahd Stadium,B4,H,92,4,Zone A,708,Student
T000774,Al Wehda vs Damac,2025-05-09,21:58,Al Nassr Club Stadium,B37,O,25,8,Zone D,616,VIP
T000775,Al Taawon vs Al Ettifaq,2025-12-01,15:36,Prince Abdullah Al Faisal Stadium,B13,Z,29,5,Zone E,953,VIP
T000776,Al Nassr vs Al Ittihad,2024-03-16,15:46,Al Nassr Club Stadium,B34,W,60,2,Zone D,396,VIP
T000777,Al Ahli vs Al Hilal,2024-12-17,22:27,Al Hilal Stadium,B7,K,89,4,Green,788,Regular
T000778,Al Ahli vs Al Hilal,2023-06-15,21:18,Al Hilal Stadium,B54,G,65,2,Zone D,280,VIP
T000779,Al Nassr vs Al Ittihad,2024-02-02,16:20,Al Hilal Stadium,B16,Q,51,10,Zone C,865,VIP
T000780,Al Taawon vs Al Ettifaq,2023-09-21,15:34,Al Nassr Club Stadium,B29,T,65,8,Zone B,186,Regular
T000781,Al Ahli vs Al Hilal,2023-12-16,15:39,Al Nassr Club Stadium,B23,E,84,7,Blue,909,Regular
T000782,Al Shabab vs Al Fateh,2025-11-16,21:22,Al Hilal Stadium,B73,G,14,9,Zone B,858,VIP
T000783,Al Shabab vs Al Fateh,2024-07-14,19:58,Prince Abdullah Al Faisal Stadium,B31,F,81,9,Zone D,942,Student
T000784,Al Raed vs Abha,2023-07-25,18:13,Al Nassr Club Stadium,B38,Q,55,1,Zone D,133,Regular
T000785,Al Shabab vs Al Fateh,2025-12-31,15:18,Al Nassr Club Stadium,B95,P,57,7,Zone E,813,Family
T000786,Al Nassr vs Al Ittihad,2023-04-18,16:37,Prince Abdullah Al Faisal Stadium,B87,K,13,8,Zone E,221,VIP
T000787,Al Ahli vs Al Hilal,2023-07-24,15:23,Prince Abdullah Al Faisal Stadium,B59,N,3,5,Zone D,137,VIP
T000788,Al Shabab vs Al Fateh,2025-07-18,15:11,Al Hilal Stadium,B58,N,26,1,Zone C,348,Student
T000789,Al Shabab vs Al Fateh,2023-04-12,21:17,Jeddah Stadium,B99,B,37,10,Pink,89,VIP
T000790,Al Taawon vs Al Ettifaq,2023-12-12,17:20,Prince Abdullah Al Faisal Stadium,B88,F,88,9,Zone C,371,VIP
T000791,Al Ahli vs Al Hilal,2025-02-03,15:00,Jeddah Stadium,B60,U,14,6,Pink,198,Student
T000792,Al Wehda vs Damac,2024-04-28,22:10,Al Hilal Stadium,B75,Y,55,10,Zone A,127,VIP
T000793,Al Ahli vs Al Hilal,2025-01-07,16:29,Al Nassr Club Stadium,B5,B,92,5,Zone B,983,Family
T000794,Al Ahli vs Al Hilal,2024-08-02,15:52,Prince Abdullah Al Faisal Stadium,B51,Y,34,4,Pink,588,Student
T000795,Al Nassr vs Al Ittihad,2025-11-08,21:49,Al Hilal Stadium,B95,F,19,9,Zone B,326,Regular
T000796,Al Shabab vs Al Fateh,2025-02-24,19:14,King Fahd Stadium,B14,G,79,7,Zone C,166,Regular
T000797,Al Taawon vs Al Ettifaq,2025-05-02,22:25,King Fahd Stadium,B97,Y,54,1,Green,529,Regular
T000798,Al Taawon vs Al Ettifaq,2025-04-25,15:57,King Fahd Stadium,B51,Q,63,4,Zone D,86,Family
T000799,Al Raed vs Abha,2024-02-19,22:34,Prince Abdullah Al Faisal Stadium,B47,A,82,6,Pink,578,Regular
T000800,Al Taawon vs Al Ettifaq,2024-03-22,16:16,Al Hilal Stadium,B27,A,1,2,Zone D,213,Regular
T000801,Al Taawon vs Al Ettifaq,2023-06-20,22:59,Jeddah Stadium,B7,S,84,5,Green,173,VIP
T000802,Al Wehda vs Damac,2024-05-21,17:01,Al Nassr Club Stadium,B74,I,19,6,Zone C,800,Regular
T000803,Al Nassr vs Al Ittihad,2023-06-10,22:22,Al Nassr Club Stadium,B68,O,15,2,Pink,598,Family
T000804,Al Ahli vs Al Hilal,2024-08-01,21:50,Jeddah Stadium,B6,H,54,8,Zone A,807,Regular
T000805,Al Nassr vs Al Ittihad,2024-10-29,16:06,Jeddah Stadium,B51,G,62,10,Green,344,Student
T000806,Al Wehda vs Damac,2023-05-18,15:42,Al Nassr Club Stadium,B53,V,45,6,Zone D,352,Family
T000807,Al Shabab vs Al Fateh,2024-11-13,16:53,Jeddah Stadium,B59,C,79,1,Pink,592,Family
T000808,Al Ahli vs Al Hilal,2023-08-31,15:42,Al Hilal Stadium,B27,P,63,8,Zone C,661,Student
T000809,Al Wehda vs Damac,2025-09-04,16:57,Al Nassr Club Stadium,B74,I,54,10,Zone D,971,Student
T000810,Al Ahli vs Al Hilal,2025-01-03,15:09,Al Nassr Club Stadium,B99,V,45,9,Zone D,503,Student
T000811,Al Shabab vs Al Fateh,2025-04-16,21:51,Al Nassr Club Stadium,B39,B,4,10,Pink,548,Student
T000812,Al Raed vs Abha,2023-11-24,20:58,Prince Abdullah Al Faisal Stadium,B85,H,96,6,Zone E,607,Family
T000813,Al Nassr vs Al Ittihad,2025-12-27,21:08,Al Hilal Stadium,B24,R,65,6,Zone C,400,Student
T000814,Al Wehda vs Damac,2024-01-11,18:33,Al Nassr Club Stadium,B60,P,69,3,Zone C,51,VIP
T000815,Al Wehda vs Damac,2025-08-28,22:27,Al Hilal Stadium,B2,C,84,10,Blue,127,Family
T000816,Al Taawon vs Al Ettifaq,2025-06-13,18:58,Al Hilal Stadium,B14,C,66,3,Zone D,891,VIP
T000817,Al Shabab vs Al Fateh,2023-12-14,17:05,Al Nassr Club Stadium,B46,T,15,2,Zone D,750,Family
T000818,Al Shabab vs Al Fateh,2024-03-14,19:18,Jeddah Stadium,B69,F,22,10,Green,813,Student
T000819,Al Raed vs Abha,2025-12-20,17:15,Al Hilal Stadium,B81,O,20,10,Blue,784,VIP
T000820,Al Nassr vs Al Ittihad,2023-05-14,16:30,Prince Abdullah Al Faisal Stadium,B63,J,3,6,Zone D,108,Student
T000821,Al Taawon vs Al Ettifaq,2024-10-06,18:06,Al Nassr Club Stadium,B85,J,52,7,Zone B,461,Family
T000822,Al Nassr vs Al Ittihad,2023-02-26,19:42,King Fahd Stadium,B24,J,99,1,Zone B,529,Student
T000823,Al Nassr vs Al Ittihad,2023-09-27,19:38,Prince Abdullah Al Faisal Stadium,B53,U,85,10,Zone B,151,VIP
T000824,Al Wehda vs Damac,2024-03-25,20:33,Jeddah Stadium,B12,M,77,1,Zone C,593,VIP
T000825,Al Wehda vs Damac,2025-02-02,17:04,Jeddah Stadium,B6,K,75,6,Pink,609,Family
T000826,Al Taawon vs Al Ettifaq,2023-11-06,21:53,King Fahd Stadium,B56,M,43,7,Pink,308,Student
T000827,Al Nassr vs Al Ittihad,2024-02-13,15:47,Al Nassr Club Stadium,B3,K,9,10,Zone E,610,Family
T000828,Al Wehda vs Damac,2023-10-07,18:31,Al Hilal Stadium,B11,K,52,6,Pink,405,VIP
T000829,Al Raed vs Abha,2025-04-22,18:25,Al Hilal Stadium,B43,I,15,4,Pink,361,Regular
T000830,Al Shabab vs Al Fateh,2024-04-06,19:06,Prince Abdullah Al Faisal Stadium,B47,C,21,9,Zone A,106,Student
T000831,Al Nassr vs Al Ittihad,2025-02-20,20:21,Al Hilal Stadium,B39,K,77,3,Blue,482,VIP
T000832,Al Raed vs Abha,2025-03-09,20:37,Jeddah Stadium,B2,H,53,4,Zone C,288,Student
T000833,Al Wehda vs Damac,2024-10-10,20:18,King Fahd Stadium,B33,B,98,5,Zone D,644,Regular
T000834,Al Shabab vs Al Fateh,2024-05-24,18:39,Al Nassr Club Stadium,B34,H,21,1,Green,664,Student
T000835,Al Taawon vs Al Ettifaq,2023-10-10,16:06,Al Hilal Stadium,B22,P,93,4,Green,634,Student
T000836,Al Wehda vs Damac,2025-10-11,16:25,King Fahd Stadium,B3,H,63,4,Zone B,582,Student
T000837,Al Taawon vs Al Ettifaq,2023-07-16,16:41,Jeddah Stadium,B32,I,13,6,Green,757,Regular
T000838,Al Raed vs Abha,2023-07-21,20:38,Al Nassr Club Stadium,B72,B,95,7,Green,124,Family
T000839,Al Wehda vs Damac,2025-02-26,16:43,Al Nassr Club Stadium,B85,W,56,7,Zone A,262,Regular
T000840,Al Taawon vs Al Ettifaq,2025-01-11,20:33,King Fahd Stadium,B15,T,90,8,Zone C,998,Family
T000841,Al Nassr vs Al Ittihad,2025-11-28,21:17,Prince Abdullah Al Faisal Stadium,B82,L,41,1,Zone E,79,Family
T000842,Al Wehda vs Damac,2025-04-05,22:32,Al Nassr Club Stadium,B23,N,84,2,Zone A,461,Family
T000843,Al Wehda vs Damac,2025-07-08,20:30,Al Hilal Stadium,B27,K,56,4,Zone D,200,Regular
T000844,Al Nassr vs Al Ittihad,2023-03-30,20:02,Al Hilal Stadium,B20,B,33,7,Green,50,Student
T000845,Al Wehda vs Damac,2025-05-26,17:31,Al Nassr Club Stadium,B53,F,88,5,Blue,61,Regular
T000846,Al Taawon vs Al Ettifaq,2023-03-11,17:50,Al Nassr Club Stadium,B15,I,69,8,Blue,64,Student
T000847,Al Wehda vs Damac,2024-09-04,22:47,Jeddah Stadium,B80,P,8,4,Zone C,564,Student
T000848,Al Shabab vs Al Fateh,2024-05-23,18:35,Al Nassr Club Stadium,B77,Z,22,5,Zone D,382,Family
T000849,Al Raed vs Abha,2023-05-06,21:42,Prince Abdullah Al Faisal Stadium,B40,P,39,5,Blue,922,VIP
T000850,Al Shabab vs Al Fateh,2025-03-30,22:34,King Fahd Stadium,B91,R,96,9,Green,418,Family
T000851,Al Ahli vs Al Hilal,2024-01-24,21:35,Jeddah Stadium,B93,D,87,2,Pink,130,VIP
T000852,Al Shabab vs Al Fateh,2023-04-08,16:08,Jeddah Stadium,B31,F,2,1,Zone E,644,Regular
T000853,Al Shabab vs Al Fateh,2024-07-15,22:02,King Fahd Stadium,B74,I,53,5,Zone B,267,VIP
T000854,Al Shabab vs Al Fateh,2025-07-31,16:38,Al Hilal Stadium,B99,E,96,5,Pink,420,Family
T000855,Al Taawon vs Al Ettifaq,2025-12-20,17:23,King Fahd Stadium,B39,R,34,1,Pink,75,Regular
T000856,Al Taawon vs Al Ettifaq,2024-04-13,20:15,King Fahd Stadium,B4,P,94,5,Zone E,489,Family
T000857,Al Ahli vs Al Hilal,2023-05-24,22:43,Prince Abdullah Al Faisal Stadium,B15,Y,40,3,Zone C,283,VIP
T000858,Al Raed vs Abha,2023-05-21,20:36,Al Hilal Stadium,B8,L,50,10,Zone A,330,Student
T000859,Al Shabab vs Al Fateh,2023-07-30,16:54,Al Hilal Stadium,B94,K,24,10,Zone A,543,Student
T000860,Al Nassr vs Al Ittihad,2023-08-13,19:17,Al Hilal Stadium,B87,Q,21,8,Zone E,599,Regular
T000861,Al Ahli vs Al Hilal,2025-05-28,21:27,Prince Abdullah Al Faisal Stadium,B78,Q,93,8,Zone D,525,Regular
T000862,Al Shabab vs Al Fateh,2024-02-09,15:34,Al Nassr Club Stadium,B46,I,1,5,Zone A,867,Regular
T000863,Al Nassr vs Al Ittihad,2025-12-17,16:53,Jeddah Stadium,B12,X,8,9,Blue,145,Family
T000864,Al Shabab vs Al Fateh,2023-03-13,20:51,Al Nassr Club Stadium,B25,B,64,9,Blue,224,Student
T000865,Al Ahli vs Al Hilal,2025-02-11,17:41,Al Hilal Stadium,B19,X,29,9,Zone C,258,Student
T000866,Al Raed vs Abha,2023-11-03,20:16,Jeddah Stadium,B54,U,11,2,Zone B,105,Family
T000867,Al Taawon vs Al Ettifaq,2025-06-07,19:15,Jeddah Stadium,B76,Y,23,4,Zone C,508,Student
T000868,Al Raed vs Abha,2024-02-22,16:50,Jeddah Stadium,B22,T,98,7,Zone E,124,VIP
T000869,Al Ahli vs Al Hilal,2024-12-08,16:38,Al Nassr Club Stadium,B15,C,37,7,Zone A,371,VIP
T000870,Al Wehda vs Damac,2025-08-20,18:38,Al Hilal Stadium,B53,X,85,10,Green,152,Student
T000871,Al Raed vs Abha,2023-09-12,21:48,Al Nassr Club Stadium,B56,N,94,4,Green,946,Family
T000872,Al Nassr vs Al Ittihad,2025-06-02,15:51,Al Nassr Club Stadium,B54,I,65,6,Blue,772,Regular
T000873,Al Taawon vs Al Ettifaq,2024-03-24,17:36,King Fahd Stadium,B58,S,54,10,Zone D,143,Student
T000874,Al Wehda vs Damac,2023-02-12,17:45,King Fahd Stadium,B41,V,51,5,Zone C,320,Family
T000875,Al Raed vs Abha,2024-08-13,22:44,Al Nassr Club Stadium,B61,I,7,3,Zone B,737,Regular
T000876,Al Nassr vs Al Ittihad,2025-01-31,22:08,Jeddah Stadium,B17,T,59,6,Zone E,500,Regular
T000877,Al Nassr vs Al Ittihad,2024-05-08,15:52,Al Hilal Stadium,B62,A,66,7,Zone C,657,Regular
T000878,Al Taawon vs Al Ettifaq,2023-01-20,17:39,Al Nassr Club Stadium,B52,P,62,10,Zone C,276,Student
T000879,Al Nassr vs Al Ittihad,2025-02-10,22:15,Prince Abdullah Al Faisal Stadium,B79,Q,56,8,Zone C,169,Family
T000880,Al Taawon vs Al Ettifaq,2023-10-13,16:48,Al Nassr Club Stadium,B1,Q,46,1,Green,181,Regular
T000881,Al Shabab vs Al Fateh,2024-05-19,20:39,Al Nassr Club Stadium,B58,Y,83,1,Blue,567,Family
T000882,Al Taawon vs Al Ettifaq,2025-05-30,19:08,Al Nassr Club Stadium,B41,B,64,3,Green,484,Regular
